,Company,Rating,Reviews,company_type,salary,Interview_count,Jobs_available,highly_rated_for,critically_rated_for
0,TCS,3.6k,97.1k,"IT Services & Consulting - Bangalore , Bengaluru +413 other locations",9.1L,11k,190,"Job Security, Work Life Balance","Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
1,Accenture,3.8k,62.6k,"IT Services & Consulting - Bangalore , Bengaluru +227 other locations",6.1L,8.6k,11.6k,N/A,"Promotions / Appraisal, Salary & Benefits"
2,Wipro,3.7k,56.8k,"IT Services & Consulting - Bangalore , Bengaluru +358 other locations",4.6L,6k,6.7k,Job Security,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
3,Cognizant,3.7k,54k,"IT Services & Consulting - Hyderabad , Secunderabad +212 other locations",5.9L,5.9k,672,N/A,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
4,Capgemini,3.7k,45.6k,"IT Services & Consulting - Bangalore , Bengaluru +172 other locations",4.5L,5k,1.6k,"Work Life Balance, Job Security","Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
5,HDFC Bank,3.9k,43k,Banking - Mumbai +1693 other locations,1.4L,2.4k,181,"Job Security, Skill Development / Learning",Promotions / Appraisal
6,Infosys,3.6k,42.5k,"IT Services & Consulting - Bangalore , Bengaluru +228 other locations",4.9L,7.9k,1.8k,Job Security,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
7,ICICI Bank,4.0k,41.6k,Banking - Mumbai +1392 other locations,1.5L,2.6k,3,"Job Security, Skill Development / Learning, Company Culture",N/A
8,HCLTech,3.5k,39.2k,IT Services & Consulting - Chennai +216 other locations,3.5L,4.1k,393,Job Security,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
9,Tech Mahindra,3.5k,37.8k,"IT Services & Consulting - Hyderabad , Secunderabad +320 other locations",2.7L,4.1k,405,N/A,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
10,Genpact,3.8k,35.4k,"IT Services & Consulting - Hyderabad , Secunderabad +160 other locations",2.1L,3.4k,449,"Job Security, Work Life Balance, Skill Development / Learning","Promotions / Appraisal, Salary & Benefits"
11,Teleperformance,3.9k,32.1k,BPO - Mumbai +245 other locations,92k,1.9k,341,"Company Culture, Work Life Balance, Job Security",N/A
12,Concentrix Corporation,3.7k,28.3k,"BPO - Bangalore , Bengaluru +165 other locations",1.2L,1.7k,121,Job Security,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
13,Axis Bank,3.7k,27.9k,Banking - Mumbai +1421 other locations,1L,1.6k,202,N/A,"Promotions / Appraisal, Work Satisfaction"
14,Amazon,4.0k,27k,"Internet - Bangalore , Bengaluru +498 other locations",1.3L,5.3k,2.9k,"Company Culture, Work Life Balance, Salary & Benefits",Promotions / Appraisal
15,Jio,4.0k,25.3k,Telecom - Mumbai +1416 other locations,60.8k,2.2k,56,"Job Security, Skill Development / Learning, Company Culture",N/A
16,iEnergizer,4.7k,24.4k,BPO - Noida +44 other locations,22.8k,749,287,"Company Culture, Job Security, Skill Development / Learning",N/A
17,Reliance Retail,3.9k,24k,Retail - Mumbai +1086 other locations,66.5k,1.7k,124,"Skill Development / Learning, Job Security",Promotions / Appraisal
18,IBM,4.0k,23.4k,"IT Services & Consulting - Bangalore , Bengaluru +159 other locations",2L,2.4k,1.8k,"Work Life Balance, Company Culture, Job Security",Promotions / Appraisal
19,LTIMindtree,3.7k,22.5k,"IT Services & Consulting - Bangalore , Bengaluru +133 other locations",1.8L,3k,385,N/A,"Promotions / Appraisal, Salary & Benefits"
